,index,year_range,population,gdp,cement_co2,co2,coal_co2,consumption_co2,flaring_co2,gas_co2,land_use_change_co2,methane,nitrous_oxide,oil_co2,other_industry_co2,total_ghg,trade_co2
88,49513,1960-1969,3545187239.0,,255.286,12905.283,5319.157,,203.8,1559.666,5332.403,6004.143,1690.432,5528.78,38.593,25522.775,
89,49514,1960-1969,3619491592.0,,270.616,13761.785,5517.706,,244.035,1708.626,5835.974,6201.988,1729.898,5979.095,41.708,27101.105,
90,49515,1970-1979,3694683801.0,21941933047808.0,288.253,14899.124,5698.193,,277.745,1790.807,5694.103,6374.541,1750.084,6799.776,44.35,28266.83,
91,49516,1970-1979,3769847834.0,,303.11,15503.854,5699.531,,321.457,1933.47,5118.095,6394.896,1738.814,7201.625,44.661,28280.381,
92,49517,1970-1979,3844917687.0,,321.341,16224.597,5690.899,,346.901,2052.238,5390.559,6529.756,1799.333,7765.145,48.072,29437.508,
93,49518,1970-1979,3920805030.0,,340.285,17085.094,5862.566,,402.173,2204.517,5244.082,6695.322,1857.153,8223.925,51.627,30340.881,
94,49519,1970-1979,3996416108.0,,340.749,17011.072,5860.91,,391.381,2259.645,5138.403,6726.428,1872.691,8106.0,52.388,30245.189,
95,49520,1970-1979,4070735264.0,,340.04,17052.752,6035.416,,336.717,2256.24,5059.333,6832.301,1928.419,8037.17,47.169,30411.125,
96,49521,1970-1979,4144246391.0,,356.224,17989.111,6260.573,,395.424,2387.563,5084.175,6934.56,1980.734,8539.312,50.017,31535.469,
97,49522,1970-1979,4217863819.0,,372.886,18498.635,6412.998,,381.48,2441.855,5513.771,7028.787,2025.768,8839.723,49.692,32603.043,
98,49523,1970-1979,4292097508.0,,398.05,19069.291,6521.982,,390.184,2551.141,5413.056,7072.617,2066.55,9156.858,51.076,33151.207,
99,49524,1970-1979,4368539472.0,,403.866,19609.02,6828.803,,360.158,2689.876,4686.75,7252.53,2123.432,9273.853,52.464,33198.746,
100,49525,1980-1989,4447606208.0,31982614478848.0,406.269,19488.523,7009.021,,316.456,2758.971,4967.532,7217.16,2136.203,8949.605,48.202,33347.82,
101,49526,1980-1989,4528777285.0,,406.283,19022.902,6989.387,,237.179,2795.24,4829.94,7055.852,2089.767,8548.145,46.672,32570.309,
102,49527,1980-1989,4612673436.0,,404.28,18871.098,7111.624,,235.584,2732.192,4543.699,7146.812,2144.83,8342.404,45.013,32320.344,
103,49528,1980-1989,4697327604.0,,413.445,18991.91,7297.98,,212.848,2761.513,4784.955,7162.986,2183.908,8257.855,48.269,32752.469,
104,49529,1980-1989,4782175500.0,,421.227,19647.801,7651.011,,186.753,3011.532,5639.079,7271.266,2197.062,8325.042,52.236,34383.637,
105,49530,1980-1989,4868943460.0,,425.773,20311.902,8201.961,,182.045,3122.311,5290.962,7383.196,2195.353,8323.233,56.578,34802.164,
106,49531,1980-1989,4958072822.0,,442.333,20614.963,8321.163,,170.358,3046.904,5527.181,7486.583,2203.162,8572.973,61.233,35424.961,
107,49532,1980-1989,5049746378.0,,459.055,21250.074,8598.43,,163.669,3308.479,5339.804,7569.99,2250.367,8644.374,76.068,35869.164,
108,49533,1980-1989,5141992550.0,,482.906,22085.131,8893.931,,186.425,3467.422,5170.985,7701.535,2243.575,8962.293,92.154,36640.598,
109,49534,1980-1989,5234431714.0,,493.234,22386.637,8892.311,,151.769,3641.542,4953.343,7876.47,2266.352,9118.108,89.673,36901.773,
110,49535,1990-1999,5327803075.0,43033605177344.0,494.369,22728.988,8702.585,22728.988,258.794,3806.152,4976.601,7925.226,2274.684,9244.039,223.049,37335.879,0.0
111,49536,1990-1999,5418735879.0,,508.293,23186.102,8616.416,23186.102,274.041,3868.078,4969.986,7899.296,2255.815,9703.657,215.616,37748.945,0.0
112,49537,1990-1999,5505989821.0,,529.372,22528.172,8410.125,22528.172,241.758,3921.804,5258.005,7893.853,2272.665,9208.91,216.203,37381.09,0.0
113,49538,1990-1999,5591544841.0,,552.208,22755.787,8510.979,22755.787,233.789,4025.106,4973.861,7912.445,2258.867,9217.523,216.181,37327.961,0.0
114,49539,1990-1999,5675551281.0,,589.438,22992.947,8559.984,22992.947,314.691,4061.52,5889.376,7984.747,2295.582,9250.904,216.409,38563.02,0.0
115,49540,1990-1999,5758878997.0,,623.497,23532.084,8803.751,23532.084,326.342,4218.191,5432.402,8103.435,2358.856,9336.73,223.571,38797.141,0.0
116,49541,1990-1999,5842055726.0,,636.372,24258.168,9025.064,24258.166,350.409,4404.707,6012.542,8190.865,2407.678,9619.58,222.034,40186.062,-0.002
117,49542,1990-1999,5924787787.0,,662.36,24401.906,8977.649,24401.906,352.773,4420.749,7406.565,8191.747,2374.1,9764.619,223.756,41658.656,0.0
118,49543,1990-1999,6007066714.0,,660.075,24303.777,8735.663,24303.777,336.493,4467.569,6144.464,8126.503,2401.021,9883.401,220.576,40217.953,0.0
119,49544,1990-1999,6089006330.0,,692.68,24853.729,8862.773,24853.727,329.973,4613.602,6002.914,8171.664,2412.446,10135.422,219.277,40655.059,-0.002
120,49545,2000-2009,6171703018.0,59897668435968.0,723.999,25510.553,9202.368,25510.553,347.079,4749.871,5297.219,8322.955,2401.121,10270.908,216.328,40732.266,0.0
121,49546,2000-2009,6254936479.0,,757.358,25706.293,9256.888,25706.293,335.684,4794.54,4765.243,8318.738,2404.05,10348.482,213.342,40393.684,0.0
122,49547,2000-2009,6337730319.0,,785.215,26276.869,9681.148,26276.867,324.631,4937.363,5128.116,8310.901,2435.91,10332.214,216.297,41334.141,-0.002
123,49548,2000-2009,6420361649.0,,863.574,27669.49,10518.779,27669.49,344.523,5118.303,6075.682,8541.279,2452.194,10603.271,221.04,43886.328,0.0
124,49549,2000-2009,6503377778.0,,902.594,28632.506,10872.461,28632.504,342.562,5284.549,5403.988,8726.553,2534.044,10998.771,231.569,44371.148,-0.002
125,49550,2000-2009,6586970145.0,,968.292,29614.395,11547.438,29614.395,347.888,5402.539,4890.982,8883.688,2558.266,11105.975,242.263,44987.16,0.0
126,49551,2000-2009,6671452018.0,,1055.835,30628.396,12194.091,30628.395,347.505,5556.997,5332.146,9055.228,2596.698,11221.006,252.962,46601.812,-0.002
127,49552,2000-2009,6757308750.0,,1133.996,31534.645,12784.673,31534.645,343.25,5760.267,4594.583,9137.519,2672.009,11252.844,259.615,46866.113,0.0
128,49553,2000-2009,6844457675.0,,1148.988,32074.199,13201.743,32074.197,334.722,5926.722,4880.31,9246.188,2639.518,11202.105,259.918,47752.992,-0.002
129,49554,2000-2009,6932766459.0,,1182.037,31541.922,13045.025,31541.924,330.398,5783.895,5273.98,9195.602,2609.189,10956.532,244.034,47577.605,0.002
130,49555,2010-2019,7021732131.0,89807707439104.0,1263.143,33355.902,13954.142,33355.902,341.242,6227.937,5487.912,9391.759,2671.178,11323.283,246.157,49800.949,0.0
